operacao,data,Atendentes,Falando,Ocioso,A - Improdutiva,Receptivo,A - Alô sem CPC,A - Alô com CPC negativo,A - Alô com CPC positivo,R - Improdutiva,R - Alô sem CPC,R - Alô com CPC negativo,R - Alô com CPC positivo,TotalPositivo,TotalProdutiva,PositivoPorPA,PositivoPorTempoLogado
VEICULOS,2021-08-31,25,94.0133333,0.0027777,100,1215,598,70,601,0,0,0,0,601,1269,24,6.392521376359844
CARTAO,2021-09-01,5,16.5991666,2.4016666,84,188,3,21,175,10,0,3,97,272,299,54,14.315161615718609
CONSIG,2021-09-01,17,61.3561111,4.6072222,128,320,47,4,530,18,5,30,211,741,827,43,11.233513568143918
VEICULOS,2021-09-01,30,99.6238888,0.0038888,111,542,871,86,472,0,0,0,0,472,1429,15,4.737634528522835
CONSIG,2021-09-02,17,59.5019444,5.0463888,145,320,41,2,504,27,2,32,196,700,777,41,10.844586743783728
VEICULOS,2021-09-02,29,98.4047222,0.0044444,123,542,912,82,444,0,0,0,0,444,1438,15,4.511774817725314
CARTAO,2021-09-02,5,17.4852777,1.8197222,34,429,2,19,75,18,2,2,178,253,278,50,13.105413105413105
VEICULOS,2021-09-03,21,101.7877777,0.0025000,67,377,433,85,410,0,0,0,0,410,928,19,4.027889587796259
CONSIG,2021-09-03,16,62.9786111,6.9652777,157,312,69,9,575,26,0,28,216,791,897,49,11.309065203059595
CARTAO,2021-09-03,4,11.5716666,1.7647222,40,207,0,30,102,11,1,1,71,173,205,43,12.972027243756639
CARTAO,2021-09-04,3,0.6783333,0.3958333,5,44,0,3,7,2,0,0,1,8,11,2,7.447633824670287
CONSIG,2021-09-04,11,35.1252777,6.7327777,143,60,51,3,463,6,1,4,13,476,535,43,11.371765689599108
VEICULOS,2021-09-04,18,39.3313888,0.0005555,43,402,294,4,231,0,0,0,0,231,529,12,5.873088739009146
VEICULOS,2021-09-06,25,53.8238888,0.0030555,92,317,714,57,330,0,0,0,0,330,1101,13,6.130758552356575
CARTAO,2021-09-06,3,5.2200000,1.2402777,33,18,3,38,77,0,0,0,4,81,122,27,12.538160553811756
CONSIG,2021-09-06,17,63.8602777,8.5563888,175,349,60,3,635,24,2,37,169,804,906,47,11.102416570771001
CONSIG,2021-09-07,7,8.5377777,8.5883333,23,61,8,1,53,5,1,7,37,90,107,12,5.255133486878386
VEICULOS,2021-09-07,6,14.5633333,0.0011111,30,288,146,4,104,0,0,0,0,104,254,17,7.140677448886176
CARTAO,2021-09-07,2,5.2711111,2.4975000,8,316,0,10,34,3,0,1,39,73,84,36,9.396789072835842
CONSIG,2021-09-08,15,57.3291666,10.6047222,155,206,67,4,594,13,0,22,147,741,834,49,10.907663496373108
VEICULOS,2021-09-08,29,177.9500000,2.9352777,161,632,604,89,529,0,0,0,0,529,1222,18,2.924505556775550
CARTAO,2021-09-08,5,12.8616666,4.0755555,93,61,11,49,152,3,0,0,35,187,247,37,11.040771476366976
CARTAO,2021-09-09,3,8.9036111,3.9280555,103,11,5,36,127,1,0,0,3,130,171,43,10.131185868294584
CONSIG,2021-09-09,16,56.7877777,11.3069444,204,192,67,0,616,16,0,25,129,745,837,46,10.940642324213412
VEICULOS,2021-09-09,27,82.3422222,6.9236111,218,779,527,90,840,0,0,0,0,840,1457,31,9.410095314556708
CARTAO,2021-09-10,5,12.6888888,6.2538888,74,176,5,41,92,16,2,2,67,159,209,31,8.393700325541837
CONSIG,2021-09-10,16,65.5816666,7.4544444,224,242,73,5,685,20,1,35,154,839,953,52,11.487468147415662
VEICULOS,2021-09-10,22,66.9222222,2.7838888,143,1408,380,44,660,0,0,0,0,660,1084,30,9.468323357588606
CARTAO,2021-09-11,4,2.9597222,6.5000000,20,40,1,12,23,4,0,0,15,38,51,9,4.017031272940831
